City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Mataura,NZ,-46.19,168.86,39.0,83,72,3.0,light rain,0.0,0
1,Kapaa,US,22.08,-159.32,82.4,74,75,18.34,broken clouds,0.0,0
2,Torbay,CA,47.67,-52.73,48.0,87,40,10.29,scattered clouds,0.0,0
3,Bambous Virieux,MU,-20.34,57.76,71.6,88,75,8.05,shower rain,0.0,0
4,Provideniya,RU,64.38,-173.3,44.6,100,90,6.71,mist,0.0,0
5,Cabedelo,BR,-6.98,-34.83,71.6,100,75,5.82,broken clouds,0.0,0
6,Albany,US,42.6,-73.97,73.99,70,16,1.01,few clouds,0.0,0
7,Cabo San Lucas,MX,22.89,-109.91,91.4,45,5,11.41,clear sky,0.0,0
8,Oum Hadjer,TD,13.3,19.7,84.49,56,0,10.69,clear sky,0.0,0
9,Jamestown,US,42.1,-79.24,75.99,83,1,3.36,clear sky,0.0,0
10,Norman Wells,CA,65.28,-126.83,59.0,82,75,5.82,light intensity shower rain,0.0,0
11,Alofi,NU,-19.06,-169.92,78.8,69,75,8.05,broken clouds,0.0,0
12,Lavrentiya,RU,65.58,-171.0,43.81,92,100,6.17,light rain,0.0,0
13,Busselton,AU,-33.65,115.33,57.99,98,3,11.27,clear sky,0.0,0
14,Tres Arroyos,AR,-38.37,-60.28,37.58,78,100,8.93,overcast clouds,0.0,0
15,Te Anau,NZ,-45.42,167.72,38.93,89,99,3.51,light rain,0.0,0
16,Itaituba,BR,-4.28,-55.98,75.25,73,0,1.74,clear sky,0.0,0
17,Leningradskiy,RU,69.38,178.42,45.16,73,100,4.76,overcast clouds,0.0,0
18,Narsaq,GL,60.92,-46.05,44.6,87,100,8.05,light rain,0.0,0
19,Asfi,MA,32.3,-9.24,72.82,72,19,8.37,few clouds,0.0,0
20,Kudahuvadhoo,MV,2.67,72.89,83.84,71,75,7.18,broken clouds,0.0,0
21,Pavlogradka,RU,54.2,73.56,67.24,79,32,7.27,scattered clouds,0.0,0
22,Bredasdorp,ZA,-34.53,20.04,44.35,85,43,4.47,scattered clouds,0.0,0
23,Hermanus,ZA,-34.42,19.23,50.0,65,3,1.01,clear sky,0.0,0
24,Durusu,TR,41.31,28.68,73.99,78,75,29.97,broken clouds,0.0,0
25,Vaini,TO,-21.2,-175.2,73.4,94,90,10.29,light rain,0.0,0
26,Hithadhoo,MV,-0.6,73.08,84.58,70,39,6.62,scattered clouds,0.0,0
27,Poum,NC,-20.23,164.02,72.23,68,3,10.42,clear sky,0.0,0
28,Bluff,NZ,-46.6,168.33,39.0,83,97,3.0,light rain,0.0,0
29,Strezhevoy,RU,60.73,77.59,73.4,73,85,4.47,overcast clouds,0.0,0
30,Puerto Quijarro,BO,-17.78,-57.77,74.71,45,86,2.06,overcast clouds,0.0,0
31,Sorland,NO,67.67,12.69,50.79,76,100,11.43,overcast clouds,0.0,0
32,Santiago Del Estero,AR,-27.8,-64.26,42.84,84,10,6.76,clear sky,0.0,0
33,Geraldton,AU,-28.77,114.6,57.2,82,0,1.12,clear sky,0.0,0
34,Lander,US,42.83,-108.73,84.2,13,1,18.34,clear sky,0.0,0
35,Dori,BF,14.04,-0.03,90.91,40,71,20.11,broken clouds,0.0,0
36,Souillac,MU,-20.52,57.52,71.6,88,75,8.05,shower rain,0.0,0
37,Ancud,CL,-41.87,-73.82,41.0,93,38,3.36,light rain,0.0,0
38,Gallup,US,35.53,-108.74,89.6,7,1,20.8,clear sky,0.0,0
39,Lukovetskiy,RU,64.3,41.92,59.0,100,75,2.24,light intensity shower rain,0.0,0
40,San Policarpo,PH,12.18,125.51,85.39,71,96,6.58,overcast clouds,0.0,0
41,Rikitea,PF,-23.12,-134.97,69.06,80,89,16.69,light rain,0.0,0
42,Chuy,UY,-33.7,-53.46,50.63,73,100,9.1,overcast clouds,0.0,0
43,Atuona,PF,-9.8,-139.03,79.39,74,15,10.56,few clouds,0.0,0
44,East London,ZA,-33.02,27.91,57.54,62,100,6.38,overcast clouds,0.0,0
45,Opuwo,NA,-18.06,13.84,50.94,39,0,6.96,clear sky,0.0,0
46,Cidreira,BR,-30.18,-50.21,59.45,93,100,23.96,heavy intensity rain,0.2,0
47,Yellowknife,CA,62.46,-114.35,60.8,67,75,8.05,shower rain,0.0,0
48,Poronaysk,RU,49.22,143.12,58.1,87,100,6.87,overcast clouds,0.0,0
49,Itarema,BR,-2.92,-39.92,75.4,74,0,8.28,clear sky,0.0,0
50,Carnarvon,AU,-24.87,113.63,62.6,55,0,16.11,clear sky,0.0,0
51,Kodiak,US,57.79,-152.41,71.6,49,1,13.87,clear sky,0.0,0
52,Ushuaia,AR,-54.8,-68.3,41.0,65,90,18.34,light intensity drizzle,0.0,0
53,Quelimane,MZ,-17.88,36.89,62.69,89,0,1.36,clear sky,0.0,0
54,Korla,CN,41.76,86.15,75.99,84,0,10.4,clear sky,0.0,0
55,Victoria,HK,22.29,114.16,87.01,70,100,15.99,light rain,0.0,0
56,Jaguarari,BR,-10.26,-40.2,62.65,98,36,6.51,scattered clouds,0.0,0
57,Rio Gallegos,AR,-51.62,-69.22,35.6,80,90,19.46,overcast clouds,0.0,0
58,Saskylakh,RU,71.92,114.08,58.62,53,47,7.31,scattered clouds,0.0,0
59,Mormugao,IN,15.4,73.8,80.6,94,75,11.41,broken clouds,0.0,0
60,Cockburn Town,TC,21.46,-71.14,83.34,80,80,17.05,broken clouds,0.0,0
61,Port Blair,IN,11.67,92.75,80.24,81,100,5.21,overcast clouds,0.0,0
62,Sitka,US,57.05,-135.33,55.4,87,75,4.7,broken clouds,0.0,0
